VWAP at time: 10:00
Symbol  VWAP
SCHE   25.0792
BNDW   75.3000
GWR   78.2308
AGR   48.8937
TLTD   59.2800
UNT   16.1075
RMR   67.7237
RGA   143.6468
RPM   55.7175
MMI   38.7161
TFX   267.4295
PSC   30.0300
SSTI   47.6903
IXP   52.7450
TYL   188.2419
MS   42.2004
UAMY   0.6432
DLN   88.7924
VMI   125.0911
CADC   4.2693
ST   47.0374
ORMP   3.4759
USOU   25.4534
SAIC   67.1455
TSLX   19.6903
GWRE   84.4453
HMN   40.8933
COTY   7.2287
AAT   42.1623
BOMN   25.0736
ESCA   11.6838
WRE   25.0286
MEIP   2.7137
SGDM   18.5550
SPSM   29.0766
JTA   11.2790
FTSV   14.4669
MYF   13.3871
NWE   62.4103
AKER   1.1874
VAPO   16.4514
FRO   5.2601
SOJA   25.9768
BMS   48.1941
EMF   14.5200
SCHD   48.8556
KEP   14.7727
LBJ   26.4286
AVNS   44.6034
XERS   15.0454
ITOT   60.4363
RYAM   13.9329
AEZS   3.9334
DEA   17.9099
FBT   139.4096
NVGS   9.5780
PRSC   63.3121
MAG   8.5253
ICOW   26.6600
SAVE   57.8933
ACC   46.0407
SDRL   8.9702
BGB   14.1186
SGMA   2.5193
HLF   58.7399
PMT   19.8311
NEWM   13.5744
GBLIL   25.0621
ATNX   11.2154
YRD   11.0639
AMH-H   23.7197
VGM   12.0000
MHN   12.3370
ONDK   6.9751
FPF   21.0437
NXGN   17.2038
PEIX   1.4148
STAR   9.5811
BAS   4.6376
CGIX   0.2461
SUPV   9.9681
RELX   21.9518
BLD   49.2087
ZTR   9.9864
SCD   12.1051
BGIO   8.7200
ETP-C   24.0500
AMRX   12.0335
UE   20.4659
CFBI   10.6809
SJW   58.5571
DDS   66.3386
FBIZ   20.6855
INXN   58.6868
AGO   40.0728
VV   121.7552
VB   145.2340
WTID   10.1800
ELD   34.5000
OCN   1.7132
HTBX   1.4242
EQM   46.3836
SCHZ   50.8402
EFV   47.8846
RILYH   25.6012
LMHB   23.1125
AHT   4.8664
ICBK   17.3600
GRA   70.6825
FBC   30.1419
REM   43.2381
LFUS   176.0153
JPEU   54.0000
CRK   5.9236
RFFC   31.3000
KALL   22.8500
DCI   46.6674
LRN   29.5828
LEVB   4.3834
LSI   97.3705
SOXL   101.8823
CMD   79.1880
IBP   40.2021
NJR   47.2437
IGHG   73.2500
DRIP   11.1194
HUM   304.8646
GGT   8.1800
SUI   107.8872
MYL   28.6419
MCS   44.8737
WH   49.6007
MDC   30.6300
PJT   43.6309
BVXV   5.2961
IDA   94.3525
OILU   21.1429
BWEN   1.5400
CXP   21.5624
PKB   25.6620
DRN   22.3007
RUBI   4.2753
DQ   33.8921
LL   11.6173
AMN   64.1634
VTA   10.6891
PAHC   31.1617
JBT   79.8907
MORL   14.5493
STC   43.6192
SIL   26.2589
VSLR   4.0092
BCC   26.4483
FPI-B   23.8850
ENBL   15.4235
BHE   24.5506
EXPR   5.3154
SDP   22.4500
CMG   531.6594
APTS   16.0507
RPT   12.9963
WTTR   8.5184
HACK   36.4903
NVR   2661.0093
BIBL   25.2600
TX   29.2829
KOIN   23.3200
IBIO   0.8500
HEI   81.2877
AQUA   10.4481
ENIA   10.1398
CHMG   42.2000
FCN   66.6219
EMO   9.5832
DIG   27.9829
URTH   83.7077
SEMG   16.4065
IGBH   24.6200
KEX   69.3705
NOAH   43.7185
USX   7.2845
WAAS   21.1590
PAR   24.6788
ROX   0.8321
GMS   18.8301
VSH   18.9265
CPLG   12.1634
DLX   47.2700
RWX   38.5255
EPP   43.4384
HCSG   43.5712
EPC   39.0788
MA   200.6364
JCS   2.4133
ATU   22.4656
CI   197.4463
RVI   30.4785
TK   3.4769
SSRM   13.2125
WMS   25.0947
VNTR   4.6061
WBS   56.0710
LONE   4.9148
APAM   22.4553
FBM   9.2185
AHC   3.9500
COG   25.6458
DKS   34.7915
QDF   42.0460
OI   19.6031
PUMP   15.8520
PKG   92.1557
WMK   47.7943
KMPR   73.7121
FSCT   29.3729
NTB   35.8074
ARW   74.5417
MTX   56.3889
BRC   43.5940
PTEU   25.1100
SMHB   21.8478
LCII   80.4952
OIS   17.1278
BC   49.8110
STT-G   25.6000
TGA   1.7651
MLPX   12.6666
RNG   87.8393
SKM   25.6344
ORN   4.2207
GVI   108.6100
AXU   1.0045
BBC   24.0000
AXS   54.8989
NKSH   34.5615
MTG   12.2239
JCO   9.3551
HSKA   96.4721
EES   35.6105
OGS   80.5653
ALLE   84.8979
OXM   76.5852
CNO   17.4400
DPK   15.1937
TGI   17.3590
GAIN   10.5904
BLFS   13.0160
ALL-G   24.8700
ISRL   116.8956
UUUU   2.8884
VEAC   10.1301
TPR   37.7873
NAV   31.9124
UUU   1.1954
LGIH   59.8124
WAIR   8.0201
DSU   10.3700
BHR   10.8415
PDI   31.8109
SBLKZ   25.2626
SUM   15.1019
HTA   28.0323
HX   2.5406
ACV   20.8406
DIAX   17.2200
PDS   2.0052
WIFI   22.5777
CGW   33.0000
SNHNI   21.3344
SKY   16.5233
MCF   3.4900
AFIN   12.8132
ABM   33.2995
JOF   8.7000
GRP=   44.6750
TANH   1.7098
FNF   35.1752
MCB   35.6425
ZTS   85.0627
BLV   88.0804
MYN   11.8600
OAS   6.0924
FPX   68.3126
SSD   59.4192
NXQ   13.7008
ITRM   6.5858
DSW   26.9401
BRFS   6.4330
GWW   292.8603
CTRL   19.1343
GXC   93.1339
SFUN   1.6902
RC   15.3125
JVA   5.8678
GJT   20.2600
R   56.4503
AP   3.5115
CWST   30.0047
CIVI   17.6712
ROP   282.9781
REX   71.6592
THG   110.9910
BHVN   38.0257
OR   9.5308
REN   32.8190
ATR   98.0145
HRTG   14.5374
AFG   94.1445
MAA   103.8142
FCOM   29.8654
PLXP   4.9455
NLY   10.4069
EPAM   138.7410
DHT   4.0404
HES-A   56.7256
FDS   211.7208
OMP   18.7159
OUT   20.7820
MPX   14.1551
NHS   10.6136
HUBS   149.2045
STL   19.3514
GBX   42.1457
DY   56.4728
NVT   25.0833
DSE   4.9300
SITE   55.2482
IEO   57.6330
MTZ   43.5207
CWT   46.5775
EIDO   26.5974
USNA   115.3370
CPF   28.4723
TDY   220.9493
DRV   8.0511
VONG   142.9011
WBT   13.7386
HOS   1.4127
EROS   9.1803
NLS   7.5526
TS   24.7779
